player,position,게임수,출전시간,평균득점,필드골,3점,자유투,공격리바운드,수비리바운드,리바운드,어시스트,스틸,블록,턴오버,파울,효율성
최준용,포워드,229,"29'40""",10.7,2.7,1.2,1.8,1.7,4.3,6.1,3.1,0.8,1.1,1.9,2.6,19.1
이대성,가드,287,"27'01""",12.2,2.8,1.6,1.8,0.5,2.4,2.9,3.5,1.1,0.2,2.2,1.9,16.6
허웅,가드,312,"28'14""",12,2.6,1.6,1.9,0.5,1.8,2.3,3,0.9,0.1,1.7,1.8,15.7
전성현,포워드,330,"20'58""",8.7,1.1,1.9,0.8,0.5,1,1.5,0.8,0.5,0,0.6,1.1,10.4
양홍석,포워드,254,"28'26""",12.1,3.3,1.3,1.6,1.8,4.1,5.9,1.9,0.7,0.4,1.4,1.9,18.9
김종규,센터,408,"27'34""",11.3,4.4,0.2,1.8,2,4.1,6.2,1.5,0.5,0.9,1.4,2.5,18.5
이정현,가드,540,"29'36""",13.1,2.7,1.7,2.6,0.5,2.4,2.9,3.6,1.3,0.2,2.2,2.5,17.6
박찬희,가드,482,"24'11""",7.1,2.3,0.5,1,0.6,2.3,2.8,4.4,1.3,0.1,1.6,1.9,12.8
함지훈,포워드,678,"29'14""",10.9,3.8,0.3,2.2,2.2,2.9,5.1,3.7,1,0.5,1.5,1.7,18.7
두경민,가드,309,"26'17""",12.2,2.3,2.1,1.3,0.5,1.8,2.2,3.3,1.2,0,2,2,15.7
오세근,센터,415,"28'36""",13.3,5.5,0.1,2,2.2,4.6,6.8,2.3,1,0.7,1.4,2,21.7
이승현,포워드,314,"33'05""",11.4,3.8,0.8,1.2,2,3.8,5.8,2.4,1,0.6,1.2,2,19
김선형,가드,483,"31'24""",13.2,3.9,1.1,2.1,0.8,2.3,3,4.6,1.5,0.3,2.2,1.6,18.9
