player,게임수,평균득점,필드골,3점,자유투,리바운드,어시스트,스틸,블록,턴오버,파울,효율성
최준용,41,8.166666667,2.2,0.766666667,1.466666667,6.1,2.8,0.7,1.2,1.7,2.833333333,16.56666667
이대성,25,5.966666667,1.133333333,1.033333333,0.566666667,2.966666667,2.966666667,0.8,0.1,1.733333333,1.6,10.26666667
허웅,49.66666667,9.566666667,2.266666667,1.133333333,1.666666667,1.933333333,2.7,0.9,0.0333333333,1.633333333,1.8,12.6
전성현,50,4.233333333,0.666666667,0.933333333,0.166666667,0.9,0.433333333,0.266666667,0.0333333333,0.333333333,1.033333333,5.266666667
양홍석,46.33333333,10.9,3.1,1.033333333,1.6,5.466666667,1.5,0.633333333,0.466666667,1.1,2.033333333,17.23333333
김종규,43.33333333,11.73333333,4.933333333,0,1.8,6.133333333,1.533333333,0.7,0.866666667,1.366666667,2.466666667,18.9
이정현,54,11.4,2.7,1.366666667,1.9,3,2.666666667,1.3,0.166666667,1.833333333,2.933333333,15.4
박찬희,36.33333333,9.233333333,3,0.533333333,1.633333333,2.933333333,3.9,1.633333333,0.0666666667,1.833333333,2.2,14.3
함지훈,48,14.53333333,4.966666667,0.3,3.733333333,5.733333333,3.366666667,1.133333333,0.7,1.8,2.3,22.53333333
두경민,45,10,1.9,1.766666667,0.933333333,2.1,2.4,1,0.0333333333,1.633333333,2.166666667,12.9
오세근,44.33333333,12.36666667,5.133333333,0.0666666667,1.966666667,6.766666667,2.033333333,1.166666667,1,1.5,2,20.66666667
이승현,48.33333333,11.23333333,3.4,1,1.366666667,5.7,2.2,1.133333333,0.566666667,1.066666667,2.166666667,18.63333333
김선형,51.66666667,12.96666667,4.266666667,0.833333333,1.9,3.133333333,4.433333333,1.466666667,0.366666667,2.133333333,2.066666667,18.76666667
