player,position,게임수,평균득점,필드골,3점,자유투,리바운드,어시스트,스틸,블록,턴오버,파울,효율성
이원석,C,63,8.6,3.3,0.2,1.6,4.4,0.5,0.6,0.8,1.1,2.9,13.2
하윤기,C,59,8.2,3.4,0,1.4,5.1,0.5,0.6,0.7,0.9,1.6,13.6
이정현,G,62,10.5,2.6,1.2,1.6,2.4,2.9,1.2,0.2,1.2,2.3,14.8
신민석,F,53,3.2,0.6,0.5,0.4,1.5,0.4,0.5,0.1,0.5,0.9,4.7
이승우,G,50,7.4,2.8,0.3,0.8,4.5,1.6,0.9,0.1,1.2,2.4,12.4
선상혁,C,5,2.6,1,0,0.6,2.2,0.2,0,0,1,0,4
정호영,G,43,5.9,1.6,0.7,0.7,1.8,2,0.5,0.3,1.2,1.7,8.8
신승민,F,58,3.7,0.9,0.4,0.7,2.2,1,0.4,0.1,0.8,2.3,6.2
김동현,G,7,0.6,0,0,0.6,0.3,0.4,0,0,0.3,1,1
조은후,G,9,3.2,0.8,0.3,0.7,1,1.8,0.4,0.1,0.3,1,5.8
김준환,G,10,1.7,0.6,0.1,0.2,0.7,0.3,0.3,0,0.4,0.8,2.3
문시윤,F,11,1,0.5,0,0.1,0.9,0.1,0,0,0.1,0.4,1.9
김동준,G,41,3.4,0.8,0.5,0.4,1,1.3,0.5,0,0.6,0.7,5.1
김종호,G,4,2,0,0.5,0.5,0.8,0,0.5,0,0.3,1.8,2.5
김수환,G,0,0,0,0,0,0,0,0,0,0,0,0
이민석,G,1,3,0,1,0,1,0,0,0,0,1,4
김진모,F,0,0,0,0,0,0,0,0,0,0,0,0
서정현,C,7,5.7,2.3,0.1,0.7,3.1,1.1,0,0.4,0.9,2.3,9.4
주현우,F,12,0.7,0.3,0,0,0.6,0,0.1,0,0,0.8,1.3
조우성,C,20,2.5,0.9,0,0.6,3,0.4,0.2,0.1,0.1,1.9,5.9
윤성준,G,2,1.5,0,0.5,0,0.5,0.5,0.5,0,0.5,1,2
김한영,F,0,0,0,0,0,0,0,0,0,0,0,0
최주영,C,0,0,0,0,0,0,0,0,0,0,0,0
정종현,F,0,0,0,0,0,0,0,0,0,0,0,0
차민석,F,57,3.9,1.4,0.1,0.7,2.1,0.5,0.4,0.1,0.7,1.8,5.9
박지원,G,76,4.5,1.5,0.3,0.8,2.1,1.9,0.7,0.2,0.8,1.9,7.9
이우석,G,77,10.7,3.4,0.9,1.2,4,2.8,0.8,0.2,1.6,1.8,16.1
양준우,G,33,1.7,0.2,0.3,0.2,0.7,1.1,0.3,0,0.6,1,2.9
한승희,F,76,2.7,1,0.1,0.3,1.4,0.3,0.2,0,0.3,1.6,4.1
윤원상,G,52,4.7,0.7,0.9,0.6,1,0.8,0.4,0,0.6,1.3,5.9
박진철,C,41,1.7,0.7,0,0.3,1.7,0.2,0.3,0.3,0.2,1.4,3.7
이근휘,F,37,6.4,0.7,1.5,0.4,1.3,0.9,0.5,0,0.4,1.5,8.2
이용우,G,0,0,0,0,0,0,0,0,0,0,0,0
임현택,F,1,0,0,0,0,1,0,0,0,0,0,1
전형준,G,51,2.4,0.3,0.5,0.3,0.6,0.6,0.3,0,0.4,2,3.2
이호준,G,0,0,0,0,0,0,0,0,0,0,0,0
이윤기,F,0,0,0,0,0,0,0,0,0,0,0,0
이광진,F,30,3,0.4,0.7,0.2,0.9,0.3,0.4,0.1,0.5,1.4,3.8
조석호,G,4,2.3,0.8,0.3,0,0.5,1,0,0,0.5,1,3.3
곽정훈,F,17,2.1,0.6,0.2,0.2,1,0.2,0.1,0,0.2,0.9,3.1
이준희,G,67,5,1.7,0.4,0.3,1.6,1.6,0.5,0.1,0.9,1.5,7.4
오재현,G,94,5,1.4,0.6,0.5,1.8,1.4,0.7,0.2,0.9,2.1,7.5
박민우,F,0,0,0,0,0,0,0,0,0,0,0,0
김형진,G,0,0,0,0,0,0,0,0,0,0,0,0
이도헌,G,0,0,0,0,0,0,0,0,0,0,0,0
양승면,G,0,0,0,0,0,0,0,0,0,0,0,0
김영현,C,84,2.3,0.2,0.6,0.2,0.7,0.4,0.3,0.1,0.2,1.5,3.3
함승호,G,0,0,0,0,0,0,0,0,0,0,0,0
정종현,F,0,0,0,0,0,0,0,0,0,0,0,0
